author,year,TP,FN,FP,TN,Generation.cat
Aotsuka 2005,2005,115,16,17,73,CCP2
Bas 2003,2003,110,86,24,215,CCP1
Bizzaro 2001,2001,40,58,5,227,CCP1
Bombardieri 2004,2004,23,7,0,39,CCP2
Choi 2005,2005,236,88,20,231,CCP2
Correa 2004,2004,74,8,11,130,CCP2
De Rycke 2004,2004,89,29,4,142,CCP2
Dubucquoi 2004,2004,90,50,2,129,CCP2
Fernandez-Suarez 2005,2005,31,22,0,75,CCP2
Garcia-Berrocal 2005,2005,69,18,8,38,CCP2
Girelli 2004,2004,25,10,2,40,CCP2
Goldbach-Mansky 2000,2000,43,63,1,120,CCP1
Greiner 2005,2005,70,17,5,228,CCP2
Grootenboer-Mignot 2004,2004,167,98,8,88,CCP2
Hitchon 2004,2004,26,15,8,15,CCP2
Jansen 2003,2003,110,148,3,118,CCP1
Kamali 2005,2005,26,20,1,56,CCP2
Kumagai 2004,2004,64,15,14,293,CCP2
Kwok 2005,2005,71,58,2,66,CCP2
Lee 2003,2003,68,35,14,132,CCP2
Lopez-Hoyos 2004,2004,38,0,3,73,CCP2
Nell 2005,2005,42,60,2,96,CCP2
Nielen 2005,2005,149,109,7,114,CCP2
Quinn 2006,2006,147,35,10,106,CCP2
Rantapaa-Dahlqvist 2003,2003,47,20,7,375,CCP2
Raza 2005,2005,24,18,3,79,CCP2
Saraux 2003,2003,40,46,11,146,CCP1
Sauerland 2005,2005,171,60,26,443,CCP2
Schellekens 2000,2000,72,77,14,298,CCP1
Soderlin 2004,2004,7,9,2,51,CCP2
Suzuki 2003,2003,481,68,23,185,CCP2
Vallbracht 2004,2004,190,105,12,408,CCP2
van Gaalen 2005,2005,82,71,13,301,CCP2
van Venrooij 2004,2004,865,252,79,2218,CCP2
Vincent 2002,2002,139,101,7,464,CCP1
Vittecoq 2004,2004,69,107,5,133,CCP2
Zeng 2003,2003,90,101,7,313,CCP1
